IP address,Colo,Mean Respond Time,Mean Download Speed
"1.0.0.0
","","Timeout","Error"
"1.1.1.0
","","Timeout","Error"
"104.16.32.0
","SIN","131.0ms (warm-up)","6674.2 KB/s"
"104.16.64.0
","SIN","120.0ms (warm-up)","5745.9 KB/s"
"104.16.96.0
","SIN","120.0ms (warm-up)","4354.1 KB/s"
"104.16.128.0
","SIN","121.0ms (warm-up)","5463.2 KB/s"
"104.16.160.0
","SIN","136.0ms (warm-up)","5627.6 KB/s"
"104.16.192.0
","SIN","127.0ms (warm-up)","5654.5 KB/s"
"104.16.224.0
","SIN","122.0ms (warm-up)","4057.4 KB/s"
"104.17.0.0
","SIN","120.0ms (warm-up)","8124.0 KB/s"
"104.17.32.0
","SIN","122.0ms (warm-up)","5660.5 KB/s"
"104.17.64.0
","SIN","125.0ms (warm-up)","5636.6 KB/s"
"104.17.96.0
","SIN","127.0ms (warm-up)","5551.4 KB/s"
"104.17.128.0
","SIN","120.0ms (warm-up)","5528.4 KB/s"
"104.17.160.0
","SIN","120.0ms (warm-up)","4836.1 KB/s"
"104.17.192.0
","SIN","123.0ms (warm-up)","6828.1 KB/s"
"104.17.224.0
","SIN","135.0ms (warm-up)","5715.1 KB/s"
"104.18.0.0
","SIN","120.0ms (warm-up)","5413.3 KB/s"
"104.18.32.0
","SIN","129.0ms (warm-up)","5690.7 KB/s"
"104.18.64.0
","SIN","126.0ms (warm-up)","4134.5 KB/s"
"104.18.128.0
","SIN","133.0ms (warm-up)","5568.8 KB/s"
"104.18.160.0
","SIN","185.0ms (warm-up)","4564.8 KB/s"
"104.18.192.0
","SIN","200.0ms (warm-up)","7231.2 KB/s"
"104.18.224.0
","SIN","182.0ms (warm-up)","5568.8 KB/s"
"104.19.0.0
","SIN","153.0ms (warm-up)","4505.0 KB/s"
"104.19.32.0
","SIN","124.0ms (warm-up)","4175.0 KB/s"
"104.19.64.0
","SIN","129.0ms (warm-up)","8192.7 KB/s"
"104.19.96.0
","SIN","122.0ms (warm-up)","5621.7 KB/s"
"104.19.128.0
","SIN","167.0ms (warm-up)","3923.0 KB/s"
"104.19.160.0
","SIN","117.0ms (warm-up)","7990.0 KB/s"
"104.19.192.0
","SIN","121.0ms (warm-up)","5715.1 KB/s"
"104.19.224.0
","SIN","121.0ms (warm-up)","5337.4 KB/s"
"104.20.0.0
","SIN","119.0ms (warm-up)","5266.2 KB/s"
"104.20.32.0
","SIN","123.0ms (warm-up)","6032.1 KB/s"
"104.20.64.0
","SIN","122.0ms (warm-up)","5706.0 KB/s"
"104.20.96.0
","SIN","121.0ms (warm-up)","5666.5 KB/s"
"104.20.128.0
","SIN","123.0ms (warm-up)","5837.2 KB/s"
"104.20.160.0
","SIN","147.0ms (warm-up)","5508.4 KB/s"
"104.20.192.0
","SIN","124.0ms (warm-up)","5745.9 KB/s"
"104.20.224.0
","SIN","122.0ms (warm-up)","5648.5 KB/s"
"104.22.0.0
","SIN","124.0ms (warm-up)","5494.2 KB/s"
"104.22.32.0
","SIN","118.0ms (warm-up)","3986.1 KB/s"
"104.22.64.0
","SIN","116.0ms (warm-up)","7058.8 KB/s"
"104.23.96.0
","SIN","122.0ms (warm-up)","5166.6 KB/s"
"104.23.128.0
","SIN","121.0ms (warm-up)","4693.4 KB/s"
"104.24.0.0
","SIN","124.0ms (warm-up)","6409.3 KB/s"
"104.24.32.0
","SIN","117.0ms (warm-up)","5449.2 KB/s"
"104.24.64.0
","SIN","127.0ms (warm-up)","5539.9 KB/s"
"104.24.96.0
","","Timeout","Error"
"104.24.128.0
","SIN","119.0ms (warm-up)","17473.3 KB/s"
"104.24.160.0
","SIN","114.0ms (warm-up)","5615.8 KB/s"
"104.24.192.0
","SIN","123.0ms (warm-up)","5984.7 KB/s"
"104.24.224.0
","SIN","125.0ms (warm-up)","5742.8 KB/s"
"104.25.0.0
","SIN","125.0ms (warm-up)","5574.6 KB/s"
"104.25.32.0
","SIN","123.0ms (warm-up)","351.1 KB/s"
"104.25.64.0
","SIN","127.0ms (warm-up)","11102.8 KB/s"
"104.25.96.0
","SIN","123.0ms (warm-up)","4037.4 KB/s"
"104.25.128.0
","SIN","115.0ms (warm-up)","2674.7 KB/s"
"104.25.160.0
","SIN","116.0ms (warm-up)","8307.7 KB/s"
"104.25.192.0
","SIN","132.0ms (warm-up)","5039.6 KB/s"
"104.25.224.0
","SIN","122.0ms (warm-up)","5928.1 KB/s"
"104.26.0.0
","SIN","120.0ms (warm-up)","5609.9 KB/s"
"104.27.0.0
","SIN","119.0ms (warm-up)","5457.6 KB/s"
"104.27.32.0
","SIN","117.0ms (warm-up)","5699.9 KB/s"
"104.27.64.0
","SIN","124.0ms (warm-up)","3582.8 KB/s"
"104.27.96.0
","SIN","125.0ms (warm-up)","8897.1 KB/s"
"104.27.128.0
","","Timeout","Error"
"104.27.160.0
","","Timeout","Error"
"104.27.192.0
","SIN","118.0ms (warm-up)","12084.7 KB/s"
"172.64.64.0
","","Timeout","Error"
"172.64.96.0
","SIN","117.0ms (warm-up)","20380.0 KB/s"
"172.64.128.0
","SIN","115.0ms (warm-up)","5727.4 KB/s"
"172.64.160.0
","SIN","139.0ms (warm-up)","5755.2 KB/s"
"172.64.192.0
","SIN","201.0ms (warm-up)","5709.0 KB/s"
"172.67.0.0
","SIN","171.0ms (warm-up)","5786.5 KB/s"
"172.67.32.0
","SIN","457.0ms (warm-up)","5519.8 KB/s"
"172.67.64.0
","SIN","397.0ms (warm-up)","5633.6 KB/s"
"172.67.96.0
","SIN","128.0ms (warm-up)","5758.4 KB/s"
"172.67.128.0
","SIN","134.0ms (warm-up)","5733.6 KB/s"
"172.67.160.0
","SIN","138.0ms (warm-up)","5715.1 KB/s"
